sell_id,buy_id,sell_price,sell_date
s_413,b_413,0.87,2024-06-08
s_415,b_415,1.5,2024-06-08
s_417,b_417,12.0,2024-06-09
s_419,b_419,1.17,2024-06-09
s_421,b_421,9.3,2024-06-09
s_423,b_423,7.5,2024-06-09
s_425,b_425,3.3,2024-06-09
s_427,b_427,0.87,2024-06-09
s_429,b_429,0.87,2024-06-10
s_431,b_431,0.57,2024-06-10
s_433,b_433,4.2,2024-06-10
s_435,b_435,2.07,2024-06-10
s_437,b_437,14.97,2024-06-10
s_439,b_439,7.5,2024-06-10
s_441,b_441,1.17,2024-06-10
s_443,b_443,14.97,2024-06-10
s_445,b_445,0.57,2024-06-10
s_447,b_447,12.0,2024-06-11
s_449,b_449,12.0,2024-06-11
s_451,b_451,12.0,2024-06-11
s_453,b_453,1.5,2024-06-11
s_455,b_455,1.5,2024-06-11
s_457,b_457,9.3,2024-06-11
s_459,b_459,1.17,2024-06-11
s_461,b_461,0.87,2024-06-11
s_463,b_463,1.17,2024-06-11
s_465,b_465,14.97,2024-06-11
s_467,b_467,3.3,2024-06-12
s_469,b_469,14.97,2024-06-12
s_471,b_471,0.87,2024-06-12
s_473,b_473,3.3,2024-06-12
s_475,b_475,3.3,2024-06-12
s_477,b_477,7.5,2024-06-12
s_479,b_479,14.97,2024-06-12
s_481,b_481,12.0,2024-06-12
s_483,b_483,1.17,2024-06-12
s_485,b_485,9.3,2024-06-12
s_487,b_487,0.57,2024-06-12
s_489,b_489,0.87,2024-06-12
s_491,b_491,1.17,2024-06-12
