buy_id,product,buy_price,buy_date,expiry_date
b_38,Carrots,0.69,2024-02-22,2024-03-08
b_39,Toilet paper,4.99,2024-02-23,2024-03-09
b_40,Cookies,0.39,2024-02-24,2024-03-10
b_41,Cookies,4.0,2024-02-24,2024-03-10
b_42,Toilet paper,0.69,2024-02-24,2024-03-10
b_43,Salmon fillets,0.5,2024-02-27,2024-03-13
b_44,Toilet paper,3.1,2024-02-27,2024-03-13
b_45,Carrots,1.1,2024-02-28,2024-03-14
b_46,White beans,0.29,2024-02-28,2024-03-14
b_47,Carrots,3.1,2024-03-03,2024-03-18
b_48,Laundry detergent,2.5,2024-03-04,2024-03-19
b_49,onion,0.69,2024-03-05,2024-03-20
b_50,onion,0.79,2024-03-05,2024-03-20
b_51,Toilet paper,2.5,2024-03-07,2024-03-22
b_52,Coffee,0.69,2024-03-09,2024-03-24
b_53,Cookies,3.1,2024-03-11,2024-03-26
b_54,Coffee,0.79,2024-03-12,2024-03-27
b_55,Salmon fillets,3.1,2024-03-12,2024-03-27
b_56,White beans,0.19,2024-03-12,2024-03-27
b_57,Coffee,1.1,2024-03-13,2024-03-28
b_58,Butter,0.39,2024-03-19,2024-04-03
b_59,Butter,0.69,2024-03-19,2024-04-03
b_60,Toilet paper,0.39,2024-03-21,2024-04-05
b_61,Cookies,0.19,2024-03-27,2024-04-11
b_62,Coffee,0.19,2024-03-29,2024-04-13
b_63,White beans,1.1,2024-03-29,2024-04-13
b_64,Salmon fillets,0.69,2024-03-30,2024-04-14
b_65,White beans,4.99,2024-04-02,2024-04-17
b_66,Butter,1.4,2024-04-03,2024-04-18
b_67,Butter,4.99,2024-04-07,2024-04-22
b_68,onion,1.4,2024-04-08,2024-04-23
b_69,Laundry detergent,0.79,2024-04-13,2024-04-28
b_70,Salmon fillets,2.5,2024-04-16,2024-05-01
b_71,Coffee,4.0,2024-04-20,2024-05-05
b_72,onion,1.1,2024-04-21,2024-05-06
b_73,Cookies,1.4,2024-04-23,2024-05-08
b_74,Carrots,0.29,2024-04-24,2024-05-09
b_75,Laundry detergent,1.4,2024-04-27,2024-05-12
b_76,Cookies,0.5,2024-04-28,2024-05-13
b_77,Toilet paper,0.29,2024-05-03,2024-05-18
b_78,onion,0.19,2024-05-05,2024-05-20
b_79,Butter,3.1,2024-05-06,2024-05-21
b_80,Carrots,0.79,2024-05-07,2024-05-22
b_81,Butter,2.5,2024-05-08,2024-05-23
b_82,Cookies,1.1,2024-05-10,2024-05-25
b_83,Coffee,2.5,2024-05-14,2024-05-29
b_84,Butter,0.5,2024-05-15,2024-05-30
b_85,Butter,4.0,2024-05-21,2024-06-05
b_86,White beans,1.4,2024-05-21,2024-06-05
b_87,onion,0.5,2024-05-24,2024-06-08
b_88,White beans,0.39,2024-05-26,2024-06-10
b_89,Coffee,0.29,2024-05-30,2024-06-14
b_90,Toilet paper,1.1,2024-05-31,2024-06-15
b_91,Laundry detergent,4.99,2024-06-02,2024-06-17
b_92,Laundry detergent,1.1,2024-06-06,2024-06-21
b_93,Laundry detergent,0.39,2024-06-07,2024-06-22
b_94,Toilet paper,0.79,2024-06-07,2024-06-22
b_95,Carrots,4.99,2024-06-12,2024-06-27
b_96,Butter,0.79,2024-06-12,2024-06-27
b_97,Cookies,0.69,2024-06-14,2024-06-29
b_98,Coffee,3.1,2024-06-16,2024-07-01
b_99,onion,3.1,2024-06-16,2024-07-01
b_100,Salmon fillets,0.29,2024-06-19,2024-07-04
b_101,onion,0.39,2024-06-22,2024-07-07
b_102,White beans,0.69,2024-06-23,2024-07-08
b_103,Coffee,4.99,2024-06-24,2024-07-09
b_104,Cookies,4.99,2024-06-24,2024-07-09
b_105,Laundry detergent,0.19,2024-06-28,2024-07-13
b_106,Carrots,1.4,2024-06-28,2024-07-13
b_107,Toilet paper,4.0,2024-06-28,2024-07-13
b_108,Salmon fillets,1.4,2024-06-30,2024-07-15
