buy_id,product,buy_price,buy_date,expiry_date
b_69,Bottled water,0.29,2024-04-21,2024-05-06
b_70,Bottled water,1.1,2024-04-21,2024-05-06
b_71,Cookies,0.69,2024-04-25,2024-05-10
b_72,Chicken breasts,0.5,2024-04-25,2024-05-10
b_73,Pasta,0.19,2024-04-26,2024-05-11
b_74,Tea bags,1.1,2024-04-27,2024-05-12
b_75,Chicken breasts,4.99,2024-04-29,2024-05-14
b_76,Brown beans,0.39,2024-04-30,2024-05-15
b_77,Pasta,2.5,2024-04-30,2024-05-15
b_78,Apple,2.5,2024-05-05,2024-05-20
b_79,Bottled water,0.79,2024-05-05,2024-05-20
b_80,Apple,0.19,2024-05-08,2024-05-23
b_81,Cookies,0.29,2024-05-08,2024-05-23
b_82,Brown beans,4.0,2024-05-11,2024-05-26
b_83,Apple,1.4,2024-05-14,2024-05-29
b_84,Brown beans,0.29,2024-05-16,2024-05-31
b_85,Apple,1.1,2024-05-20,2024-06-04
b_86,Bottled water,0.19,2024-05-20,2024-06-04
b_87,Sugar,0.79,2024-05-22,2024-06-06
b_88,Tea bags,3.1,2024-05-24,2024-06-08
b_89,Sugar,2.5,2024-05-26,2024-06-10
b_90,Tea bags,0.39,2024-05-28,2024-06-12
b_91,Chicken breasts,0.39,2024-05-28,2024-06-12
b_92,Pasta,0.5,2024-05-29,2024-06-13
b_93,Sugar,1.1,2024-05-30,2024-06-14
b_94,Tea bags,1.4,2024-05-30,2024-06-14
b_95,Pasta,0.29,2024-06-02,2024-06-17
b_96,Chicken breasts,3.1,2024-06-05,2024-06-20
b_97,Bottled water,2.5,2024-06-07,2024-06-22
b_98,Brown beans,0.19,2024-06-08,2024-06-23
b_99,Sugar,0.69,2024-06-12,2024-06-27
b_100,Apple,4.99,2024-06-15,2024-06-30
b_101,Tea bags,0.5,2024-06-17,2024-07-02
b_102,Apple,0.5,2024-06-18,2024-07-03
b_103,Brown beans,1.1,2024-06-18,2024-07-03
b_104,Bottled water,3.1,2024-06-20,2024-07-05
b_105,Apple,4.0,2024-06-21,2024-07-06
b_106,Chicken breasts,4.0,2024-06-23,2024-07-08
b_107,Tea bags,2.5,2024-06-26,2024-07-11
b_108,Tomatoes,1.4,2024-06-30,2024-07-15
